layer,kv,win_primary,win3_primary,diffuse_primary,margin_3,margin_10,margin_25,margin_50,facility_3,kcenter_3,keydiff_cen_3,keydiff_unc_3,logdet_cen_3,facility_10,kcenter_10,keydiff_cen_10,keydiff_unc_10,logdet_cen_10,facility_25,kcenter_25,keydiff_cen_25,keydiff_unc_25,logdet_cen_25,facility_50,kcenter_50,keydiff_cen_50,keydiff_unc_50,logdet_cen_50,PR,spectral_tail,outlier_fraction,clusteredness
28,1,kcenter,kcenter,0,0.0939,0.0181,0.0427,0.1210,0.3571,0.2631,2.0215,0.1085,0.2046,0.2884,0.3064,1.4317,0.1265,0.2278,0.3889,0.4316,0.8263,0.1629,0.2598,0.8468,0.9679,0.2383,0.2725,0.4714,22.0033,0.8590,0.0268,0.1021
28,2,kcenter,kcenter,0,0.5950,0.0110,0.0440,0.1254,0.7475,0.1525,1.5401,0.0748,0.1101,0.1803,0.1913,0.9928,0.0751,0.1233,0.2948,0.3388,0.1282,0.1033,0.1823,0.3829,0.5083,0.1098,0.1044,0.1787,27.5275,0.8845,0.0109,0.0879
28,3,kcenter,kcenter,0,0.6730,0.0534,0.0412,0.2947,1.0280,0.3550,1.5758,0.3403,0.3854,0.4561,0.4027,1.1631,0.4119,0.4601,0.4074,0.4486,0.6597,0.4148,0.4093,0.5665,0.8612,0.4187,0.4353,0.4730,28.2894,0.8976,0.0088,0.0732
28,4,kcenter,kcenter,0,0.9940,0.0323,0.0732,0.1984,1.2318,0.2377,1.4135,0.1560,0.2873,0.2682,0.3005,1.2089,0.1610,0.2548,0.3221,0.3952,0.5414,0.1870,0.3187,0.3531,0.5515,0.5622,0.2240,0.2888,30.8450,0.9028,0.0030,0.0644
28,5,kcenter,kcenter,0,0.6212,0.0780,0.1186,0.2240,0.8935,0.2723,0.9376,0.0902,0.1700,0.2482,0.3262,0.4805,0.1047,0.2035,0.3049,0.4235,0.3827,0.1222,0.2121,0.3530,0.5769,0.1647,0.1089,0.2024,31.0213,0.9067,0.0146,0.0670
28,6,kcenter,kcenter,0,0.8482,0.0887,0.1815,0.2139,1.2564,0.4082,1.6828,0.2834,0.4129,0.4051,0.4939,0.6391,0.2944,0.3311,0.6025,0.7841,0.6804,0.3135,0.4083,0.7353,0.9492,0.3930,0.2446,0.3656,30.3566,0.9084,0.0081,0.0640
28,7,kcenter,kcenter,0,0.9397,0.0963,0.1026,0.3251,1.1377,0.1979,0.7669,0.0801,0.1223,0.1813,0.2776,0.5136,0.0933,0.1598,0.1967,0.2994,0.2915,0.0931,0.1580,0.4309,0.7560,0.2293,0.1872,0.2830,41.0854,0.9256,0.0144,0.0532
29,0,kcenter,kcenter,0,0.9572,0.0281,0.0527,0.1585,1.2600,0.3028,0.5343,0.1953,0.3028,0.3493,0.3774,0.3027,0.2563,0.3489,0.4948,0.5475,0.2874,0.3073,0.4494,0.6640,0.8224,0.2809,0.2917,0.4214,24.4016,0.8775,0.0109,0.0872
29,1,kcenter,kcenter,0,0.0030,0.0059,0.0047,0.0091,0.0381,0.0351,1.0233,0.0078,0.0331,0.0563,0.0504,0.9954,0.0162,0.0235,0.0993,0.0946,0.8778,0.0371,0.0466,0.7659,0.7568,0.3382,0.2664,0.3267,28.1048,0.8521,0.0333,0.0925
29,2,kcenter,kcenter,0,0.7220,0.2016,0.1964,0.3113,1.1460,0.4240,1.3338,0.2023,0.3708,0.3454,0.5470,0.5862,0.2610,0.3388,0.4949,0.6913,0.3542,0.2412,0.4086,0.6196,0.9309,0.2659,0.2194,0.3842,29.8731,0.8990,0.0024,0.0755
